Заголовок новости,Ссылка,Рубрика,Дата публикации,Количество просмотров,Частота публикаций,Метка рубрики
Суд обязал Башгидромет оборудовать станции мониторинга воздуха в промышленных городах,https://ufa1.ru/text/ecology/2023/03/13/72127931/,Экология,2023-03-13 12:35:00,942,84900,15
"Трогательное видео: в Башкирии спасли собаку, провалившуюся под лед речушки",https://ufa1.ru/text/animals/2023/03/13/72127796/,Животные,2023-03-13 11:39:00,1329,83040,5
В Башкирии сбежал страус — видео,https://ufa1.ru/text/animals/2023/03/13/72127610/,Животные,2023-03-13 11:25:00,2749,85560,5
В УГЗ Уфы сообщили подробности об утопленнике на озере Кашкадан,https://ufa1.ru/text/incidents/2023/03/13/72127640/,Происшествия,2023-03-13 11:04:31,3794,85171,25
"«Чаще встречается у молодых женщин». Кардиолог — об инфаркте, который нельзя увидеть на обследовании",https://ufa1.ru/text/health/2023/03/13/72124514/,Здоровье,2023-03-13 11:00:00,1382,86129,23
С удочкой в луже: в Башкирии на городской улице сняли странное видео с рыбаком,https://ufa1.ru/text/gorod/2023/03/13/72127508/,Город  Развлечения,2023-03-13 10:25:00,9875,84300,12
"11 слов, которые докажут, что вам пора обратно за школьную парту (сложный и запутанный тест)",https://ufa1.ru/text/education/2023/03/13/72126761/,Образование,2023-03-13 10:00:00,2211,84900,16
Провалился под лед: в Уфе из озера Кашкадан достали утопленника — видео,https://ufa1.ru/text/incidents/2023/03/13/72127448/,Происшествия,2023-03-13 09:40:00,4309,85200,25
В Башкирии в ночном пожаре погибли женщина и мужчина,https://ufa1.ru/text/incidents/2023/03/13/72127382/,Происшествия,2023-03-13 09:00:00,1709,84000,25
Ушла в минус на первой же неделе. Как журналист жила на МРОТ и чуть не провалила эксперимент,https://ufa1.ru/text/economics/2023/03/13/72123677/,Экономика,2023-03-13 09:00:00,3625,0,2
"«Хорошо там, где мы есть»: сколько можно заработать в другом городе",https://ufa1.ru/text/job/2023/03/13/72118988/,Работа,2023-03-13 09:00:00,1762,0,20
Всё везде и сразу: главные итоги церемонии «Оскар»,https://ufa1.ru/text/entertainment/2023/03/13/72127379/,Развлечения,2023-03-13 08:58:00,1160,86280,24
Весна пришла: синоптики рассказали о погоде в начале недели в Башкирии,https://ufa1.ru/text/spring/2023/03/13/72127358/,Весна,2023-03-13 08:40:00,2692,85320,30
Путин расширил права военкоматов. Что теперь им можно,https://ufa1.ru/text/world/2023/03/13/72124031/,Страна и мир,2023-03-13 08:00:00,4449,84000,18
"«Хочу умереть от старости, а не от пули»: история музыканта, который сбежал из ЛНР в Уфу",https://ufa1.ru/text/culture/2023/03/13/72122435/,Культура  Развлечения,2023-03-13 07:50:00,3779,85800,6
"Выбирают по обложке: уфимский предприниматель — о том, как выживает книжный бизнес и почему он боится ареста",https://ufa1.ru/text/culture/2023/03/13/72114530/,Бизнес  Культура,2023-03-13 07:20:00,2483,84600,29
"Отношения звезд, смерть продавщицы, история «Социнвестбанка»: итоги недели в Башкирии",https://ufa1.ru/text/gorod/2023/03/13/72127121/,Город,2023-03-13 06:50:33,2407,84633,12
Документальный фильм «Навальный» (16+) стал победителем премии «Оскар»,https://ufa1.ru/text/culture/2023/03/13/72127274/,Культура,2023-03-13 06:05:00,1020,83667,6
"«Всё везде и сразу» — абсолютный победитель. Рассказываем, как прошел «Оскар» — главная кинопремия в мире",https://ufa1.ru/text/entertainment/2023/03/13/72114500/,Развлечения,2023-03-13 04:00:00,1203,78900,24
В Уфе перекрыли часть дороги вдоль реки Шугуровки из-за таяния снега,https://ufa1.ru/text/transport/2023/03/12/72127169/,Дороги и транспорт,2023-03-12 21:55:00,2599,64500,19
В Башкирии умер известный конезаводчик Хасан Идиятуллин,https://ufa1.ru/text/incidents/2023/03/12/72127157/,Происшествия,2023-03-12 21:35:00,5506,85200,25
"Опубликовано видео, где российские военные рассказали об угрозах: новости СВО за 12 марта",https://ufa1.ru/text/politics/2023/03/12/72127100/,Политика,2023-03-12 20:50:56,2806,83756,22
«Уходим под воду»: горожане массово жалуются на «тонущую» Уфу в комментариях у чиновников,https://ufa1.ru/text/incidents/2023/03/12/72127034/,Весна  Происшествия,2023-03-12 19:25:56,5709,81300,30
"Последние минуты жизни продавщицы алкомаркета в Уфе, которую убила посетительница, попали на видео",https://ufa1.ru/text/incidents/2023/03/12/72126920/,Происшествия,2023-03-12 17:40:00,37032,80044,25
